,Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
88,10222,11938,393.7,362.52,403.79,407.73,332.76,321.86,329.18,388.31,327.68,416.14,387.16,369.5,461.86,361.27,342.35,379.93,380.83,353.18,402.66,354.29,289.58,277.64,426.24,353.98,352.2,328.88,362.44
89,6109,10368,382.56,401.1,439.02,291.24,406.76,356.78,386.4,393.58,424.67,400.49,396.32,437.03,401.24,366.45,418.18,399.43,411.4,401.34,391.46,435.38,409.1,372.28,415.84,405.19,291.18,390.38,365.88
90,6051,14715,487.54,511.4,448.3,497.16,548.24,453.04,440.55,465.84,520.76,538.9,497.58,412.24,519.68,521.92,468.38,415.66,414.88,484.4,419.06,483.92,528.12,460.08,497.52,415.74,502.7,440.92,515.68
91,2613,7045,420.99,344.68,422.02,318.78,368.13,375.34,403.56,388.81,391.34,407.2,468.78,402.62,450.94,369.68,433.04,392.93,375.7,398.87,418.58,398.3,358.58,454.46,413.9,359.38,399.68,423.19,394.7
92,1000,6336,495.9,433.96,416.69,376.26,396.28,422.48,380.22,405.43,389.3,467.38,392.34,449.66,482.32,401.14,423.64,418.14,413.51,373.47,441.22,363.5,422.86,334.68,443.34,415.86,336.7,418.38,418.94
93,7062,18209,524.62,388.5,502,608.78,473.24,588.3,557.66,452.69,564,477.26,461.04,474.06,571.22,498.8,348.38,514.89,550.16,562.21,457.17,360.58,440.82,547.36,526.3,629.19,549,551.58,468.03
94,7655,8644,316.76,385.06,404.94,275.3,332.14,363.72,370.32,378.1,404.29,392.71,364.72,389.83,363.86,342.73,336.36,391.18,368.48,361.58,381.43,361.18,399.25,369.22,436.19,331.06,349.44,407.42,365.37
95,4473,2095,406.36,386.22,400.42,455.24,374.02,440.74,411.78,339.48,408.98,425.57,418.27,491.03,439.32,384.08,447.56,386.67,397.78,379.41,447.56,330.14,355.87,403.94,342.34,495.62,593.23,285.32,345.27
96,5773,15712,248.58,249.9,243.1,240.94,238.62,239.48,235.6,238.76,239.18,253.18,248.03,239.48,248.88,247.23,239.08,266,243.98,236.26,243.58,245.98,247.2,242.7,257.68,252.3,244.76,246.86,239.8
97,14602,14082,351.36,408.77,424.57,443.85,505.82,408.38,397.04,423.93,504.06,457.48,389.98,523.14,509.08,462.28,414,413.76,453.38,442.84,378.06,428.02,434.12,439.5,469.26,411.8,580.48,484.97,504.6
98,22160,7056,553.6,457.52,517.25,479.48,492.21,429.57,435.78,489.98,409.89,543.54,539.66,489.23,559.26,466.03,451.38,458.66,469.95,469.72,410.28,412.83,437.81,461.06,519.18,499.19,447.78,523.06,465.05
99,7173,11332,441.34,361.2,344.37,359.98,340.16,402.84,347.46,363.97,387.79,429.09,347.28,378.4,386.48,370.01,327.35,317.86,360.56,341.1,377.48,356.04,399.1,328.48,401.04,356.02,455.98,338.4,340.57
100,238,11560,460.08,419.38,393.28,379.2,394.61,403.3,390.52,415.69,437.32,417.84,368.01,447.69,375.28,299.9,411.36,428.85,402.36,318.08,398.35,312.97,427.66,426.02,389.92,418.19,403,404.38,392.03
101,21560,6224,534.52,528.97,485.43,549.24,530.24,504.61,489.82,483.68,520.16,559.76,506.58,520.44,518.82,487.02,578.02,566.48,529.45,511.09,506.35,546.56,538,508,501.18,467.46,606.05,503.4,474.88
102,17384,19696,485.5,496.6,451.54,451.7,422.88,445.9,407.68,436.14,465.62,563.64,493.94,455.76,403.7,462.05,400.48,515.68,416.67,425.75,460.6,439.04,443.68,542.08,352.58,374.1,424.25,465.92,409.52
103,17930,12849,247,425.62,360.16,396.38,520.54,448.92,416.94,412.2,414.86,445.84,427.14,385.54,390.84,416.97,442.05,434.32,420.79,320.8,317.14,340.79,372.03,438.08,581.96,448.28,407.48,328.72,418.4
104,5525,726,462.62,513.4,446.57,414.68,586.97,560.97,393.72,451.82,455.02,490.36,527.61,510.91,581.97,505.76,515.5,489.42,499.5,537.91,335.73,463.63,545.58,526.07,525.58,521.07,320.16,560.84,552.28
